STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",08-06-17,0,,80,92,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",09-06-17,0,,79,,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",10-06-17,0,,78,85,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",11-06-17,0,,76,,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",12-06-17,0,,77,83,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",13-06-17,0,,77,,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",14-06-17,0.01,,77,84,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",15-06-17,0,,77,84,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",16-06-17,0,,78,85,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",17-06-17,0,,79,87,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",18-06-17,,,79,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",19-06-17,0,,79,87,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",20-06-17,0,,78,,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",21-06-17,0,,78,,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",22-06-17,0,,78,85,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",23-06-17,0,,79,,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",24-06-17,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",25-06-17,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",26-06-17,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",27-06-17,,,81,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",28-06-17,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",29-06-17,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",30-06-17,,,82,,
LEM00040101,"HOUCHE AL OUMARA, LE",02-01-17,,,41,43,
LEM00040101,"HOUCHE AL OUMARA, LE",03-01-17,0.63,,41,47,37
LEM00040101,"HOUCHE AL OUMARA, LE",04-01-17,0.16,,42,47,37
LEM00040101,"HOUCHE AL OUMARA, LE",05-01-17,0.08,,46,,40
LEM00040101,"HOUCHE AL OUMARA, LE",06-01-17,0,,48,60,38
LEM00040101,"HOUCHE AL OUMARA, LE",07-01-17,0,,44,,37
LEM00040101,"HOUCHE AL OUMARA, LE",08-01-17,0,,42,46,
LEM00040101,"HOUCHE AL OUMARA, LE",09-01-17,0.35,,35,,
LEM00040101,"HOUCHE AL OUMARA, LE",10-01-17,0.51,,40,50,30
LEM00040101,"HOUCHE AL OUMARA, LE",11-01-17,0,,42,54,35
LEM00040101,"HOUCHE AL OUMARA, LE",12-01-17,0,,40,,30
LEM00040101,"HOUCHE AL OUMARA, LE",13-01-17,0.02,,43,50,
LEM00040101,"HOUCHE AL OUMARA, LE",14-01-17,0.02,,42,49,35
LEM00040101,"HOUCHE AL OUMARA, LE",15-01-17,0.55,,41,46,37
LEM00040101,"HOUCHE AL OUMARA, LE",16-01-17,0.01,,45,58,37
LEM00040101,"HOUCHE AL OUMARA, LE",17-01-17,0,,45,63,33
LEM00040101,"HOUCHE AL OUMARA, LE",18-01-17,0,,47,,36
LEM00040101,"HOUCHE AL OUMARA, LE",19-01-17,0,,47,57,36
LEM00040101,"HOUCHE AL OUMARA, LE",20-01-17,0,,44,58,33
LEM00040101,"HOUCHE AL OUMARA, LE",21-01-17,0.04,,44,53,
LEM00040101,"HOUCHE AL OUMARA, LE",23-01-17,,,42,57,32
LEM00040101,"HOUCHE AL OUMARA, LE",24-01-17,0,,47,,35
LEM00040101,"HOUCHE AL OUMARA, LE",25-01-17,0.08,,51,57,46
LEM00040101,"HOUCHE AL OUMARA, LE",26-01-17,0.03,,45,52,
LEM00040101,"HOUCHE AL OUMARA, LE",27-01-17,1.54,,37,,
LEM00040101,"HOUCHE AL OUMARA, LE",31-01-17,0.02,1,38,45,
LEM00040101,"HOUCHE AL OUMARA, LE",01-02-17,0.12,,30,,25
LEM00040101,"HOUCHE AL OUMARA, LE",02-02-17,0,,38,51,28
LEM00040101,"HOUCHE AL OUMARA, LE",03-02-17,0,,40,57,27
LEM00040101,"HOUCHE AL OUMARA, LE",04-02-17,0,,42,56,32
LEM00040101,"HOUCHE AL OUMARA, LE",05-02-17,0,,43,62,34
LEM00040101,"HOUCHE AL OUMARA, LE",06-02-17,0,,45,61,34
LEM00040101,"HOUCHE AL OUMARA, LE",07-02-17,0,,51,65,38
LEM00040101,"HOUCHE AL OUMARA, LE",08-02-17,0,,49,59,
LEM00040101,"HOUCHE AL OUMARA, LE",09-02-17,0.01,,40,,35
LEM00040101,"HOUCHE AL OUMARA, LE",10-02-17,0,,48,62,39
LEM00040101,"HOUCHE AL OUMARA, LE",11-02-17,,,47,62,
LEM00040101,"HOUCHE AL OUMARA, LE",12-02-17,0.04,,43,,39
LEM00040101,"HOUCHE AL OUMARA, LE",13-02-17,0.31,,41,49,37
LEM00040101,"HOUCHE AL OUMARA, LE",14-02-17,0.12,,39,41,36
LEM00040101,"HOUCHE AL OUMARA, LE",15-02-17,0.31,,38,43,36
LEM00040101,"HOUCHE AL OUMARA, LE",16-02-17,0.02,,34,40,
LEM00040101,"HOUCHE AL OUMARA, LE",17-02-17,0,,36,47,25
LEM00040101,"HOUCHE AL OUMARA, LE",18-02-17,0,,42,56,28
LEM00040101,"HOUCHE AL OUMARA, LE",19-02-17,0,,45,59,33
LEM00040101,"HOUCHE AL OUMARA, LE",20-02-17,0,,46,63,34
LEM00040101,"HOUCHE AL OUMARA, LE",21-02-17,0,,46,60,33
LEM00040101,"HOUCHE AL OUMARA, LE",22-02-17,0,,48,63,34
LEM00040101,"HOUCHE AL OUMARA, LE",23-02-17,0,,47,62,37
LEM00040101,"HOUCHE AL OUMARA, LE",24-02-17,0,,51,65,36
LEM00040101,"HOUCHE AL OUMARA, LE",25-02-17,0,,53,69,39
LEM00040101,"HOUCHE AL OUMARA, LE",26-02-17,0,,54,,40
LEM00040101,"HOUCHE AL OUMARA, LE",27-02-17,0,,59,69,43
LEM00040101,"HOUCHE AL OUMARA, LE",28-02-17,0,,58,67,47
LEM00040101,"HOUCHE AL OUMARA, LE",01-03-17,0.28,,51,,
LEM00040101,"HOUCHE AL OUMARA, LE",02-03-17,0.35,,52,64,46
LEM00040101,"HOUCHE AL OUMARA, LE",03-03-17,0.24,,46,50,43
LEM00040101,"HOUCHE AL OUMARA, LE",04-03-17,0.31,,49,62,39
LEM00040101,"HOUCHE AL OUMARA, LE",06-03-17,0,,54,67,41
LEM00040101,"HOUCHE AL OUMARA, LE",07-03-17,0,,56,70,45
LEM00040101,"HOUCHE AL OUMARA, LE",08-03-17,0,,54,69,45
LEM00040101,"HOUCHE AL OUMARA, LE",09-03-17,0,,60,75,45
LEM00040101,"HOUCHE AL OUMARA, LE",10-03-17,0,,60,,
LEM00040101,"HOUCHE AL OUMARA, LE",11-03-17,,,48,52,
LEM00040101,"HOUCHE AL OUMARA, LE",12-03-17,,,46,63,
LEM00040101,"HOUCHE AL OUMARA, LE",13-03-17,0.55,,48,55,45
LEM00040101,"HOUCHE AL OUMARA, LE",14-03-17,0.24,,47,56,42
LEM00040101,"HOUCHE AL OUMARA, LE",15-03-17,0.08,,44,47,
LEM00040101,"HOUCHE AL OUMARA, LE",16-03-17,0.51,,46,54,38
LEM00040101,"HOUCHE AL OUMARA, LE",17-03-17,0.02,,47,52,43
LEM00040101,"HOUCHE AL OUMARA, LE",18-03-17,0.31,,60,68,46
LEM00040101,"HOUCHE AL OUMARA, LE",19-03-17,0,,50,60,44
LEM00040101,"HOUCHE AL OUMARA, LE",20-03-17,0,,50,56,43
LEM00040101,"HOUCHE AL OUMARA, LE",21-03-17,0,,54,63,47
LEM00040101,"HOUCHE AL OUMARA, LE",22-03-17,0,,51,60,43
LEM00040101,"HOUCHE AL OUMARA, LE",23-03-17,0.01,,49,,46
LEM00040101,"HOUCHE AL OUMARA, LE",24-03-17,0,,52,64,40
LEM00040101,"HOUCHE AL OUMARA, LE",25-03-17,0,,54,69,41
LEM00040101,"HOUCHE AL OUMARA, LE",26-03-17,,,59,70,
LEM00040101,"HOUCHE AL OUMARA, LE",27-03-17,0,,55,69,44
LEM00040101,"HOUCHE AL OUMARA, LE",28-03-17,0,,55,,43
LEM00040101,"HOUCHE AL OUMARA, LE",29-03-17,,,56,72,42
LEM00040101,"HOUCHE AL OUMARA, LE",30-03-17,0,,55,63,49
LEM00040101,"HOUCHE AL OUMARA, LE",31-03-17,0.01,,58,67,46
LEM00040101,"HOUCHE AL OUMARA, LE",01-04-17,0,,52,,46
LEM00040101,"HOUCHE AL OUMARA, LE",02-04-17,0.16,,52,57,46
LEM00040101,"HOUCHE AL OUMARA, LE",03-04-17,0,,55,,
LEM00040101,"HOUCHE AL OUMARA, LE",04-04-17,,,55,,42
LEM00040101,"HOUCHE AL OUMARA, LE",05-04-17,0,,67,77,55
LEM00040101,"HOUCHE AL OUMARA, LE",06-04-17,0,,67,,56
LEM00040101,"HOUCHE AL OUMARA, LE",07-04-17,,,56,,
LEM00040101,"HOUCHE AL OUMARA, LE",08-04-17,0,,53,65,44
LEM00040101,"HOUCHE AL OUMARA, LE",09-04-17,,,52,63,
LEM00040101,"HOUCHE AL OUMARA, LE",10-04-17,0,,55,72,39
LEM00040101,"HOUCHE AL OUMARA, LE",11-04-17,0,,61,79,47
LEM00040101,"HOUCHE AL OUMARA, LE",12-04-17,0,,63,75,53
LEM00040101,"HOUCHE AL OUMARA, LE",13-04-17,0.04,,62,74,
LEM00040101,"HOUCHE AL OUMARA, LE",14-04-17,0.08,,57,,52
LEM00040101,"HOUCHE AL OUMARA, LE",15-04-17,0.02,,58,68,48
LEM00040101,"HOUCHE AL OUMARA, LE",16-04-17,0,,56,,47
LEM00040101,"HOUCHE AL OUMARA, LE",17-04-17,0,,61,76,47
LEM00040101,"HOUCHE AL OUMARA, LE",18-04-17,0,,60,73,48
LEM00040101,"HOUCHE AL OUMARA, LE",19-04-17,0,,57,,45
LEM00040101,"HOUCHE AL OUMARA, LE",20-04-17,,,61,,
LEM00040101,"HOUCHE AL OUMARA, LE",21-04-17,0,,70,87,51
LEM00040101,"HOUCHE AL OUMARA, LE",22-04-17,0,,72,,55
LEM00040101,"HOUCHE AL OUMARA, LE",23-04-17,0,,60,,
LEM00040101,"HOUCHE AL OUMARA, LE",24-04-17,0,,56,71,46
LEM00040101,"HOUCHE AL OUMARA, LE",25-04-17,,,61,79,
LEM00040101,"HOUCHE AL OUMARA, LE",26-04-17,,,72,81,
LEM00040101,"HOUCHE AL OUMARA, LE",27-04-17,0,,70,88,55
LEM00040101,"HOUCHE AL OUMARA, LE",28-04-17,0,,73,85,63
LEM00040101,"HOUCHE AL OUMARA, LE",29-04-17,0,,73,86,55
LEM00040101,"HOUCHE AL OUMARA, LE",30-04-17,,,72,87,
LEM00040101,"HOUCHE AL OUMARA, LE",01-05-17,0.01,,71,84,
LEM00040101,"HOUCHE AL OUMARA, LE",02-05-17,0.12,,64,78,
LEM00040101,"HOUCHE AL OUMARA, LE",03-05-17,0,,63,77,51
LEM00040101,"HOUCHE AL OUMARA, LE",04-05-17,,,60,,
LEM00040101,"HOUCHE AL OUMARA, LE",05-05-17,0,,65,77,53
LEM00040101,"HOUCHE AL OUMARA, LE",06-05-17,,,65,79,
LEM00040101,"HOUCHE AL OUMARA, LE",07-05-17,,,64,77,
LEM00040101,"HOUCHE AL OUMARA, LE",08-05-17,0,,69,87,50
LEM00040101,"HOUCHE AL OUMARA, LE",09-05-17,,,75,92,
LEM00040101,"HOUCHE AL OUMARA, LE",10-05-17,,,73,,
LEM00040101,"HOUCHE AL OUMARA, LE",11-05-17,,,70,83,
LEM00040101,"HOUCHE AL OUMARA, LE",12-05-17,0,,68,,48
LEM00040101,"HOUCHE AL OUMARA, LE",13-05-17,,,68,,55
LEM00040101,"HOUCHE AL OUMARA, LE",14-05-17,,,78,94,
LEM00040101,"HOUCHE AL OUMARA, LE",15-05-17,0,,76,85,
LEM00040101,"HOUCHE AL OUMARA, LE",16-05-17,,,71,86,
LEM00040101,"HOUCHE AL OUMARA, LE",17-05-17,0,,77,89,58
LEM00040101,"HOUCHE AL OUMARA, LE",19-05-17,0.03,,69,82,
LEM00040101,"HOUCHE AL OUMARA, LE",20-05-17,0,,60,69,
LEM00040101,"HOUCHE AL OUMARA, LE",21-05-17,0.02,,59,71,
LEM00040101,"HOUCHE AL OUMARA, LE",22-05-17,0,,67,82,47
LEM00040101,"HOUCHE AL OUMARA, LE",23-05-17,,,62,71,
LEM00040101,"HOUCHE AL OUMARA, LE",24-05-17,,,62,,52
LEM00040101,"HOUCHE AL OUMARA, LE",25-05-17,0,,70,82,51
LEM00040101,"HOUCHE AL OUMARA, LE",26-05-17,0,,67,79,57
LEM00040101,"HOUCHE AL OUMARA, LE",27-05-17,0,,69,,52
LEM00040101,"HOUCHE AL OUMARA, LE",28-05-17,,,70,83,58
LEM00040101,"HOUCHE AL OUMARA, LE",29-05-17,0,,77,87,54
LEM00040101,"HOUCHE AL OUMARA, LE",30-05-17,0,,71,82,60
LEM00040101,"HOUCHE AL OUMARA, LE",31-05-17,0,,68,,61
LEM00040101,"HOUCHE AL OUMARA, LE",01-06-17,0,,68,76,51
LEM00040101,"HOUCHE AL OUMARA, LE",02-06-17,0,,67,,55
LEM00040101,"HOUCHE AL OUMARA, LE",03-06-17,0,,77,89,57
LEM00040101,"HOUCHE AL OUMARA, LE",04-06-17,,,74,93,
LEM00040101,"HOUCHE AL OUMARA, LE",05-06-17,0,,76,90,60
LEM00040101,"HOUCHE AL OUMARA, LE",06-06-17,0,,76,87,60
LEM00040101,"HOUCHE AL OUMARA, LE",07-06-17,0,,71,,56
LEM00040101,"HOUCHE AL OUMARA, LE",08-06-17,0,,81,98,62
LEM00040101,"HOUCHE AL OUMARA, LE",10-06-17,0,,77,92,
LEM00040101,"HOUCHE AL OUMARA, LE",11-06-17,0,,76,,56
LEM00040101,"HOUCHE AL OUMARA, LE",12-06-17,0,,85,95,58
LEM00040101,"HOUCHE AL OUMARA, LE",13-06-17,0,,71,,58
LEM00040101,"HOUCHE AL OUMARA, LE",14-06-17,0.03,,71,81,
LEM00040101,"HOUCHE AL OUMARA, LE",16-06-17,0,,76,89,62
LEM00040101,"HOUCHE AL OUMARA, LE",17-06-17,0,,75,88,61
LEM00040101,"HOUCHE AL OUMARA, LE",19-06-17,0,,76,,61
